complaint_id,category,amount_inr,hour_of_day,mule_hops,lead_time_minutes,nearest_cluster,station,officer,phone,lat,lng,hist_density,predicted_risk_score
NCRP-2026-10047,UPI / QR Code Scam,135774,9,4,26,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.50868,77.07566,66.87,46.6
NCRP-2026-10048,Loan App Extortion,98352,16,3,8,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.62657,77.22819,78.39,52.8
NCRP-2026-10049,Impersonation / Vishing,154808,9,2,18,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.63403,77.0903,69.4,57.4
NCRP-2026-10050,UPI / QR Code Scam,58133,7,1,24,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72159,77.1057,83.24,56.8
NCRP-2026-10051,Investment / Ponzi Fraud,11460,14,3,24,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.50924,77.08134,66.27,40.8
NCRP-2026-10052,UPI / QR Code Scam,34899,18,3,11,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.62766,77.28577,86.05,49.9
NCRP-2026-10053,Investment / Ponzi Fraud,40729,1,2,27,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72658,77.10107,67.72,49.6
NCRP-2026-10054,UPI / QR Code Scam,35566,15,2,15,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57812,77.34474,77.75,51.2
NCRP-2026-10055,Impersonation / Vishing,12086,4,1,21,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72354,77.11113,81.73,53.6
NCRP-2026-10056,Investment / Ponzi Fraud,14841,14,2,14,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.65055,77.20695,85.41,54.2
NCRP-2026-10057,Part-Time Job / Task Fraud,33139,21,1,20,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.71094,77.11046,78.41,54.8
NCRP-2026-10058,UPI / QR Code Scam,15668,5,2,50,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.4873,77.11413,64.92,40.5
NCRP-2026-10059,Part-Time Job / Task Fraud,30997,3,2,31,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57541,77.31352,78.31,50.3
NCRP-2026-10060,Part-Time Job / Task Fraud,16824,8,1,63,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.56391,77.32248,77.96,50.0
NCRP-2026-10061,UPI / QR Code Scam,43452,10,1,14,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.6184,77.21176,82.19,55.4
NCRP-2026-10062,Investment / Ponzi Fraud,110312,5,4,26,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.56415,77.32912,80.27,49.2
NCRP-2026-10063,Loan App Extortion,21475,21,2,26,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57745,77.33594,76.17,47.7
NCRP-2026-10064,Part-Time Job / Task Fraud,18383,3,1,11,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.71345,77.11981,83.27,53.9
NCRP-2026-10065,Investment / Ponzi Fraud,14598,4,1,16,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.55524,77.33101,80.31,52.9
NCRP-2026-10066,Loan App Extortion,19997,2,3,29,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.62028,77.08916,71.52,39.6
NCRP-2026-10067,Loan App Extortion,18972,4,1,22,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.62281,77.0839,75.28,51.9
NCRP-2026-10068,UPI / QR Code Scam,124963,5,2,22,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.70224,77.12888,76.31,57.1
NCRP-2026-10069,Investment / Ponzi Fraud,58939,18,2,29,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.62975,77.22384,78.5,52.6
NCRP-2026-10070,Impersonation / Vishing,122165,3,4,87,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.6187,77.09286,75.32,45.7
NCRP-2026-10071,Loan App Extortion,114683,0,1,34,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.62355,77.28938,97.03,65.7
NCRP-2026-10072,Investment / Ponzi Fraud,36293,12,2,118,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.56333,77.31785,84.82,48.2
NCRP-2026-10073,Part-Time Job / Task Fraud,37547,13,2,19,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57494,77.31658,77.19,50.6
NCRP-2026-10074,UPI / QR Code Scam,69643,23,1,41,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49558,77.09038,75.53,56.2
NCRP-2026-10075,Part-Time Job / Task Fraud,139893,22,1,29,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.58156,77.32747,88.15,65.2
NCRP-2026-10076,Loan App Extortion,91190,20,2,22,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.63569,77.21544,85.29,57.7
NCRP-2026-10077,UPI / QR Code Scam,40093,10,1,17,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.63209,77.22686,71.21,51.4
NCRP-2026-10078,Loan App Extortion,60019,17,2,10,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49477,77.09814,77.11,52.6
NCRP-2026-10079,Investment / Ponzi Fraud,27804,12,2,30,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.60887,77.07708,70.21,45.8
NCRP-2026-10080,Part-Time Job / Task Fraud,54270,0,3,22,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.69891,77.12339,68.86,44.4
NCRP-2026-10081,Part-Time Job / Task Fraud,30350,22,4,31,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.59317,77.32315,78.25,41.0
NCRP-2026-10082,Impersonation / Vishing,50117,2,1,48,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.62951,77.08575,65.17,50.8
NCRP-2026-10083,Investment / Ponzi Fraud,73793,2,1,47,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57888,77.32715,76.9,55.1
NCRP-2026-10084,Loan App Extortion,76572,20,1,18,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.62304,77.21855,87.47,61.2
NCRP-2026-10085,Impersonation / Vishing,97179,2,2,51,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.50287,77.07751,72.74,50.9
NCRP-2026-10086,Investment / Ponzi Fraud,193546,11,1,36,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.62614,77.21376,82.46,67.6
NCRP-2026-10087,Part-Time Job / Task Fraud,24912,21,2,40,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.572,77.34324,72.85,45.8
NCRP-2026-10088,Loan App Extortion,26014,16,2,16,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.63231,77.21827,83.02,51.5
NCRP-2026-10089,Part-Time Job / Task Fraud,132910,20,2,36,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72376,77.10667,77.07,55.6
NCRP-2026-10090,Investment / Ponzi Fraud,34657,7,2,38,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.62459,77.26583,90.3,53.3
NCRP-2026-10091,Investment / Ponzi Fraud,75945,0,1,31,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.55677,77.32995,75.7,57.3
NCRP-2026-10092,UPI / QR Code Scam,83682,20,1,47,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57178,77.31248,85.9,58.1
NCRP-2026-10093,Loan App Extortion,90326,11,4,20,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57042,77.33166,75.09,47.7
NCRP-2026-10094,UPI / QR Code Scam,49033,23,3,24,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49322,77.07895,73.15,44.9
NCRP-2026-10095,Part-Time Job / Task Fraud,22500,8,4,11,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.6304,77.08724,67.0,36.4
NCRP-2026-10096,Part-Time Job / Task Fraud,20696,7,4,20,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.65235,77.21956,87.43,44.4
NCRP-2026-10097,Part-Time Job / Task Fraud,51126,12,1,58,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.6942,77.10451,73.96,51.9
NCRP-2026-10098,Loan App Extortion,29191,17,2,31,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.63258,77.22828,82.33,51.9
NCRP-2026-10099,Loan App Extortion,35702,20,2,19,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.50372,77.09929,61.27,48.5
NCRP-2026-10100,UPI / QR Code Scam,31895,17,1,23,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.70183,77.11134,76.84,55.8
NCRP-2026-10101,Investment / Ponzi Fraud,16644,4,3,17,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.6284,77.27534,87.61,47.2
NCRP-2026-10102,Part-Time Job / Task Fraud,98787,13,1,38,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57123,77.32219,79.87,58.3
NCRP-2026-10103,Part-Time Job / Task Fraud,55474,16,1,12,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.71997,77.11547,75.68,56.5
NCRP-2026-10104,Investment / Ponzi Fraud,78890,8,3,19,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49518,77.10739,66.55,44.6
NCRP-2026-10105,Loan App Extortion,63245,4,2,33,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.63507,77.27959,82.48,52.2
NCRP-2026-10106,Part-Time Job / Task Fraud,22434,12,3,27,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.71005,77.10797,61.08,38.0
NCRP-2026-10107,Investment / Ponzi Fraud,66662,12,1,48,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.56384,77.32208,76.49,54.2
NCRP-2026-10108,Loan App Extortion,23635,20,2,16,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.63477,77.27358,87.33,53.0
NCRP-2026-10109,Part-Time Job / Task Fraud,95178,13,3,36,Connaught Place Financial Circle,New Delhi District Cyber Cell,ACP Rajesh Verma,+91 11 2374 8899,28.63267,77.21118,85.27,52.0
NCRP-2026-10110,Investment / Ponzi Fraud,60256,23,3,41,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.48328,77.07862,69.0,43.6
NCRP-2026-10111,Part-Time Job / Task Fraud,144433,21,4,12,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.50782,77.09917,71.01,52.8
NCRP-2026-10112,Investment / Ponzi Fraud,62145,19,3,74,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57862,77.32131,76.2,43.7
NCRP-2026-10113,Impersonation / Vishing,154392,2,2,14,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.63091,77.0869,67.92,59.6
NCRP-2026-10114,Impersonation / Vishing,25959,16,4,55,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.63607,77.28627,87.54,44.5
NCRP-2026-10115,Part-Time Job / Task Fraud,216688,0,1,19,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72097,77.1025,69.99,68.1
NCRP-2026-10116,Investment / Ponzi Fraud,20260,16,1,27,Janakpuri District Commercial Center,West District Cyber Police Station,Inspector Kuldeep Rawat,+91 11 2550 3322,28.63345,77.09184,73.84,50.4
NCRP-2026-10117,Loan App Extortion,89613,13,2,41,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.72076,77.11627,69.57,51.8
NCRP-2026-10118,UPI / QR Code Scam,25666,23,2,19,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.56827,77.32702,76.19,48.5
NCRP-2026-10119,Investment / Ponzi Fraud,108349,5,3,15,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.69651,77.12289,73.95,51.8
NCRP-2026-10120,Part-Time Job / Task Fraud,58137,19,1,14,Gurugram Cyber City Commercial Outlets,Cyber Crime Police Station East Gurugram,ACP Priyanshu Dewan,+91 124 221 1100,28.49197,77.08947,68.83,52.9
NCRP-2026-10121,Part-Time Job / Task Fraud,14091,21,1,26,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.61407,77.27515,91.96,56.5
NCRP-2026-10122,UPI / QR Code Scam,11604,5,2,46,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.63539,77.28849,90.79,49.9
NCRP-2026-10123,Part-Time Job / Task Fraud,94322,6,2,50,Rohini Sector 10 District Hub,North-West District Cyber Cell,Inspector Devendra Hooda,+91 11 2705 4433,28.71905,77.11006,74.6,49.6
NCRP-2026-10124,Impersonation / Vishing,74517,11,1,14,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.64239,77.27552,81.77,60.1
NCRP-2026-10125,Investment / Ponzi Fraud,38427,18,1,34,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57923,77.33057,78.15,54.6
NCRP-2026-10126,Impersonation / Vishing,11556,0,3,31,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.63136,77.27328,91.73,44.7
NCRP-2026-10127,UPI / QR Code Scam,229703,23,2,12,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.57779,77.31619,84.74,69.7
NCRP-2026-10128,Part-Time Job / Task Fraud,54867,21,2,20,Noida Sector 18 Commercial Hub,Noida Cyber Police Station (Sec 108),DSP Sunil Kumar,+91 120 256 7890,28.56713,77.31294,83.51,54.5
NCRP-2026-10129,Impersonation / Vishing,19903,11,2,32,Laxmi Nagar / Shakarpur Hub,East Delhi Cyber Police Station,Inspector Vikramaditya Sharma,+91 11 2244 5566,28.63662,77.28125,87.9,52.6
